suid,commits,submissions,latest_submission,env_id,latest_ip,uuid,env_started,env_stopped
16881869,0,0,,,,,,
17123232,0,0,,,,,,
17710561,0,1,2019-10-30 11:14:34.805399,,146.232.20.252,,,
18176895,0,1,2019-10-30 12:04:23.530431,,146.232.20.252,,,
18546633,0,0,,,,,,
18978371,0,1,2019-10-30 11:58:23.448201,,146.232.20.252,,,
19011466,0,0,,,,,,
19084773,0,1,2019-10-30 12:11:52.541840,,146.232.20.252,,,
19142838,0,1,2019-10-30 11:35:22.401228,,146.232.20.252,,,
19324049,0,0,,,,,,
19630824,0,0,,,,,,
19772815,0,0,,,,,,
19827784,0,1,2019-10-30 11:23:25.669967,,146.232.20.252,,,
19865910,0,0,,,,,,
19870329,0,0,,,,,,
19877099,0,0,,,,,,
19894651,0,0,,,,,,
19940882,0,0,,,,,,
19971214,0,0,,,,,,
20150350,0,0,,,,,,
20259735,0,0,,,,,,
20451474,0,0,,,,,,
20671377,0,0,,,,,,
20671954,0,0,,,,,,
20688105,0,0,,,,,,
20698380,0,0,,,,,,
20698712,0,0,,,,,,
20700601,0,0,,,,,,
20733526,0,0,,,,,,
20741634,0,1,2019-10-30 12:05:44.739462,,146.232.20.252,,,
20762747,0,0,,,,,,
20768591,0,0,,,,,,
20768842,0,0,,,,,,
20789629,0,0,,,,,,
20811713,0,1,2019-10-30 10:32:44.418117,,146.232.20.252,,,
20822340,0,0,,,,,,
20832559,0,0,,,,,,
20834268,0,0,,,,,,
20834861,0,0,,,,,,
20855346,0,0,,,,,,
20856288,0,1,2019-10-30 11:12:27.024919,,146.232.20.252,,,
20869118,0,0,,,,,,
20897634,0,0,,,,,,
20908628,0,0,,,,,,
20931409,0,0,,,,,,
20941390,0,1,2019-10-30 10:37:31.952605,,146.232.20.252,,,
20978987,0,1,2019-10-30 11:50:19.751996,,146.232.20.252,,,
20980965,0,0,,,,,,
20981848,0,0,,,,,,
20994338,0,0,,,,,,
21018030,0,0,,,,,,
21040958,0,0,,,,,,
21068275,0,0,,,,,,
21077320,0,0,,,,,,
21093857,0,0,,,,,,
21135487,0,0,,,,,,
21143544,0,0,,,,,,
21152284,0,0,,,,,,
21156387,0,0,,,,,,
21333645,0,1,2019-10-30 11:43:15.878884,,146.232.20.252,,,
21535582,0,0,,,,,,
21553416,0,0,,,,,,
21553491,0,0,,,,,,
21553815,0,1,2019-10-30 09:48:47.940138,,146.232.20.252,,,
21554315,0,0,,,,,,
21555036,0,0,,,,,,
21555745,0,0,,,,,,
21563535,0,0,,,,,,
21564086,0,1,2019-10-30 11:47:57.433014,,146.232.20.252,,,
21566402,0,0,,,,,,
21568499,0,0,,,,,,
21570515,0,0,,,,,,
21573875,0,0,,,,,,
21575223,0,0,,,,,,
21576262,0,0,,,,,,
21577153,0,0,,,,,,
21577978,0,0,,,,,,
21580014,0,0,,,,,,
21580413,0,0,,,,,,
21581118,0,0,,,,,,
21582122,0,0,,,,,,
21583013,0,1,2019-10-30 10:39:06.557222,,146.232.20.252,,,
21583293,0,0,,,,,,
21584753,0,0,,,,,,
21585229,0,1,2019-10-30 11:52:10.893218,,146.232.20.252,,,
21587825,0,0,,,,,,
21593426,0,0,,,,,,
21593493,0,0,,,,,,
21594023,0,0,,,,,,
21594201,0,0,,,,,,
21596662,0,0,,,,,,
21598835,0,0,,,,,,
21600716,0,0,,,,,,
21608792,0,0,,,,,,
21611602,0,1,2019-10-30 10:58:43.283475,,146.232.20.252,,,
21612838,0,1,2019-10-30 11:47:19.446687,,146.232.20.252,,,
21624836,0,1,2019-10-30 11:15:38.727165,,146.232.20.252,,,
21625689,0,0,,,,,,
21626227,0,0,,,,,,
21627436,0,0,,,,,,
21629986,0,0,,,,,,
21631387,0,0,,,,,,
21639361,0,0,,,,,,
