RPID,IP,MAC,Class,Room,Asset,Serial,Building,FQDN,ARP Last
10917071,10.10.32.10,00:1d:56:03:27:39,IPPROJ,narga,0, ,ADMINISTRASIE BLOK A,aba-narga-a-hdmiswitch.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.10.32.11,00:1d:56:03:33:f6,IPPROJ,narga, , ,ADMINISTRASIE BLOK A,aba-narga-a-controller.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.10.32.12,00:25:5c:ef:24:f3,IPPROJ,narga, , ,ADMINISTRASIE BLOK A,aba-narga-a-projektor1.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.10.32.13,8c:df:9d:93:20:ea,IPPROJ,narga, , ,ADMINISTRASIE BLOK A,aba-narga-a-projektor2.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.10.32.20,00:1d:56:02:ca:2f,IPPROJ,narga, , ,ADMINISTRASIE BLOK A,aba-narga-b-hdmiswitch.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.10.32.21,00:1d:56:03:33:eb,IPPROJ,narga, , ,ADMINISTRASIE BLOK A,aba-narga-b-controller.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.10.32.22,8c:df:9d:93:20:32,IPPROJ,narga, , ,ADMINISTRASIE BLOK A,aba-narga-b-projektor1.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.10.32.23,8c:df:9d:93:20:bf,IPPROJ,narga, , ,ADMINISTRASIE BLOK A,aba-narga-b-projektor2.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.10.32.24,8c:df:9d:93:20:88,IPPROJ,narga, , ,ADMINISTRASIE BLOK A,aba-narga-b-projektor3.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.10.32.25,8c:df:9d:93:20:a0,IPPROJ,narga, , ,ADMINISTRASIE BLOK A,aba-narga-b-projektor4.sun.ac.za,2019-02-21 15:25:01, 
15747328,10.30.40.33,ac:85:3d:95:a7:c0,WAP,k2093,0,,ADMINISTRASIE BLOK A,aba-narga-2090-wg1.sun.ac.za,2019-02-21 15:25:01,AP6010DN-AGN
15747328,10.30.40.56,d8:49:0b:b8:a7:c0,WAP,k2088,0,,ADMINISTRASIE BLOK A,aba-narga-k2088-wg1.sun.ac.za,2019-02-21 15:25:01,AP6010DN-AGN
15747328,10.30.58.240,20:0b:c7:8f:15:00,WAP,grondvloerportaal,0,,ADMINISTRASIE BLOK A,aba-narga-portaal-wg1.sun.ac.za,2019-02-21 15:25:01,AP6010DN-AGN
15747328,10.30.62.119,ac:85:3d:95:a8:e0,WAP,k2088,0, ,ADMINISTRASIE BLOK A,aba-narga-k2088-wap2.sun.ac.za, ,AP6010DN-AGN
10917071,10.40.48.10,ac:cc:8e:35:49:7f,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axm3005-narga-3rd-east-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.11,00:40:8c:94:a4:31,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axp3301-narga-3rd-entrance-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.12,ac:cc:8e:ae:ed:b4,IPCAMERA,k1,0,,NATUURWETENSKAPPE,axm3014-narga-3rd-east-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.13,00:40:8c:94:a4:2f,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axp3301-narga-3rd-stairwell-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.14,00:40:8c:9a:00:a8,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axm7001-narga-3rd-cam2-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.15,00:40:8c:98:43:b0,IPCAMERA,k1, , ,NATUURWETENSKAPPE,ax209fd-narga-e-door-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.16,ac:cc:8e:08:5b:2c,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axm3005-narga-e-backr-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.17,ac:cc:8e:08:5d:6c,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axm3005-narga-f-door-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.18,00:40:8c:b4:1a:a6,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axp3301-narga-f-front-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.19,00:40:8c:a4:ee:5b,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axm3005-narga-g-entrance-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.20,00:40:8c:c3:e1:c7,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axm3005-narga-g-frontr-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.21,00:40:8c:ac:6f:89,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axp3301-narga-h-middel-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.22,00:40:8c:a6:41:4e,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axp3301-narga-h-back-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.23,ac:cc:8e:ae:ed:b3,IPCAMERA,k1,0,,NATUURWETENSKAPPE,axp3301-narga-h-tutor-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.24,00:40:8c:ac:6f:8e,IPCAMERA,k1, , ,NATUURWETENSKAPPE,axp3301-narga-h-front-nat.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.25,00:40:8c:f1:e4:19,IPCAMERA,k1, , ,GEOLOGIE / KAMER VAN MYNWESE,axp3350-narga-d-entrance-geo.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.26,00:40:8c:a0:77:06,IPCAMERA,k1, , ,GEOLOGIE / KAMER VAN MYNWESE,ax216fd-narga-d-laptop-south-geo.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.27,00:40:8c:a4:90:0c,IPCAMERA,k1, , ,GEOLOGIE / KAMER VAN MYNWESE,ax216fd-narga-d-laptop-north-geo.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.28,00:40:8c:a0:e5:c4,IPCAMERA,k1, , ,GEOLOGIE / KAMER VAN MYNWESE,axp3343-narga-d-outside-geo.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.29,00:40:8c:f1:e4:ab,IPCAMERA,k1, , ,GEOLOGIE / KAMER VAN MYNWESE,axp3350-narga-d-southw-geo.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.30,00:40:8c:e8:f4:24,IPCAMERA,k1, , ,GEOLOGIE / KAMER VAN MYNWESE,axp5500-narga-d-northe-geo.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.31,00:40:8c:f1:e4:b8,IPCAMERA,k1, , ,GEOLOGIE / KAMER VAN MYNWESE,axp3350-narga-d-southe-geo.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.32,ac:cc:8e:bc:7e:3b,IPCAMERA,k1,0,,ADMINISTRASIE BLOK A,axm3003-narga-a-entrance-admin.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.33,00:40:8c:8f:0b:0e,IPCAMERA,k1, , ,ADMINISTRASIE BLOK A,axp3301-narga-a-stairs-admin.sun.ac.za, , 
10917071,10.40.48.34,ac:cc:8e:62:b5:2c,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,axm3011-narga-a-groundf-admin.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.35,00:40:8c:e9:38:42,IPCAMERA,k1, , ,ADMINISTRASIE BLOK A,axp3350-narga-a-corridor-admin.sun.ac.za, , 
10917071,10.40.48.36,00:40:8c:9a:00:a7,IPCAMERA,k1, , ,ADMINISTRASIE BLOK A,axpm7001-narga-a-cam3-admin.sun.ac.za, , 
10917071,10.40.48.37,00:40:8c:a0:77:12,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,ax216mfd-narga-b-middel-admin.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.38,00:40:8c:94:04:a4,IPCAMERA,k1,0,AC:CC:8E:74:04:C6,ADMINISTRASIE BLOK A,axp3301-narga-a-frontr-admin.sun.ac.za, , 
10917071,10.40.48.39,00:40:8c:f1:e4:a7,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,axp3350-narga-a-back-entrance-admin.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.40,00:40:8c:b4:1a:a7,IPCAMERA,k1, , ,ADMINISTRASIE BLOK A,axp3301-narga-b-frontr-admin.sun.ac.za, , 
10917071,10.40.48.41,00:40:8c:a3:b2:21,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,axp216mfd-narga-b-backr-admin.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.42,ac:cc:8e:74:04:c6,IPCAMERA,k1,0,AC:CC:8E:74:04:C6,ADMINISTRASIE BLOK A,axp3301-narga-a-frontr-admin.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.43,00:40:8c:a0:77:13,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,ax216mfd-narga-a-backr-admin.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.44,00:40:8c:b6:00:2c,IPCAMERA,k1,0, ,ADMINISTRASIE BLOK A,axp3304-narga-o-backr-admin.sun.ac.za,2019-02-21 15:25:01, 
10917071,10.40.48.45,00:40:8c:9a:00:a3,IPCAMERA,k1, , ,ADMINISTRASIE BLOK A,axm7001-narga-o-cam1-admin.sun.ac.za, , 
10917071,10.40.48.46,ac:cc:8e:ae:ed:92,IPCAMERA,k1,0,,ADMINISTRASIE BLOK A,axp5512-narga-o-ptz-admin.sun.ac.za,2019-02-21 15:25:01, 
13806025,10.40.48.47,00:40:8c:f1:d3:2c,IPCAMERA,k3019,0, ,NATUURWETENSKAPPE,axp3354-narga-g-backl-nat.sun.ac.za,2019-02-21 15:25:01, 
